CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad Cliente,Tiempo,COMBO_ZONA_TIEMPO
0,0,0,0,1,1,0,0,1,1,4,1,0,0,0.0,0,2,1,2.08,2892,0,0,2,18,0.0,0.0
9300,0,0,0,1,1,0,0,0,1,46,0,0,0,0.0,1,3,0,2.45,1376,7187,0,2,53,0.0,0.0
17499,0,0,0,1,1,3,0,1,1,29,0,0,0,0.3333333333333333,0,3,0,2.51,1376,0,1,4,21,0.21428571428571427,0.2653881278538813
25780,0,0,0,1,1,2,0,0,1,31,1,0,0,0.3333333333333333,1,2,1,2.43,2015,7256,1,4,48,0.35714285714285715,0.3673059360730594
34844,0,0,0,1,1,2,0,0,2,40,1,0,1,1.0,0,3,0,2.3,1818,0,1,3,21,0.21428571428571427,0.4904109589041095
40549,0,0,0,1,1,2,0,0,1,4,1,0,0,0.3333333333333333,1,1,0,2.43,2015,11293,0,2,56,0.0,0.11251141552511415
41472,0,0,0,1,1,2,0,1,1,31,1,0,0,0.3333333333333333,0,3,1,2.48,2015,0,0,1,24,0.0,0.11251141552511415
42352,0,0,0,1,1,2,0,1,1,38,1,0,0,0.0,1,3,0,2.44,1560,754,0,2,51,0.0,0.0
43244,0,0,0,1,1,0,0,1,1,4,0,0,0,1.0,1,3,0,2.43,1376,12177,1,1,44,0.35714285714285715,0.5923287671232877
1,0,0,0,1,1,3,0,1,1,26,1,0,0,0.3333333333333333,0,3,0,2.52,2892,0,1,1,20,0.2857142857142857,0.3163470319634703
960,0,0,0,1,1,2,3,1,1,31,1,0,0,1.0,0,1,0,2.02,2015,0,1,1,32,0.2857142857142857,0.5413698630136986
1876,0,0,0,1,1,0,0,1,1,31,0,0,0,1.0,0,2,1,2.19,1376,0,0,1,21,0.0,0.3375342465753425
2797,0,0,0,1,1,3,0,0,2,8,1,0,0,1.0,1,1,0,2.52,2892,7918,0,1,52,0.0,0.3375342465753425
3762,0,0,0,1,1,3,3,1,1,38,1,0,0,1.0,1,1,0,2.36,2892,17967,1,1,55,0.5714285714285714,0.7452054794520548
4708,0,0,0,1,1,0,2,0,1,31,1,0,0,0.3333333333333333,1,1,0,2.36,2892,14527,1,2,27,0.5,0.46922374429223745
5623,0,0,0,1,1,0,3,0,1,46,0,0,0,0.0,0,0,0,2.1,1376,0,0,1,18,0.0,0.0
7375,0,0,0,1,1,2,0,1,1,21,1,0,0,1.0,1,2,1,2.51,2015,7123,0,2,51,0.0,0.3375342465753425
8327,0,0,0,1,1,3,0,0,1,8,0,0,0,0.0,1,2,1,2.42,1376,11544,0,2,54,0.0,0.0
